"Directory","File","Pages"
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Abe","abe_2022_FlexibleModelsCircular.pdf",15
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Abou El Hassan","abouelhassan_2018_DiurnalRhythmClinical.pdf",20
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Abreu","abreu_2015_BipolarityLightDark.pdf",11
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Abu Bakar","abubakar_2014_DoesMoodExplain.pdf",10
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Acosta","acosta_1975_EtiologyTreatmentHomosexuality.pdf",21
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Acquah","acquah_2018_WeightedAverageInformation.pdf",9
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Adam","adam_2017_DiurnalCortisolSlopes.pdf",17
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Adolf","adolf_2021_OptimalSamplingRates.pdf",46
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Adu","adu_2023_DissertationResearchMethods.pdf",471
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Affizie","affizie_2024_CyclicalInterdependenceTheory.pdf",28
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Agassi","agassi_2014_PopperHisPopular.pdf",159
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Aggarwal","aggarwal_2008_PrivacyPreservingDataMining.pdf",524
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Aghabozorgi","aghabozorgi_2015_TimeseriesClusteringDecade.pdf",23
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Agresti","agresti_2004_ExamplesWhichMisspecification.pdf",15
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Ahmed","ahmed_2021_MaximumLikelihoodEstimation.pdf",21
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Akachar","akachar_2015_StuckIslamophobiaHomophobia.pdf",16
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Akaike","akaike_1974_NewLookStatistical.pdf",8
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Akay","akay_2009_SundaysAreBlue.pdf",49
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Akkaya","akkaya_2001_EstimatingParametersAutoregressive.pdf",22
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Akkaya","akkaya_2005_TimeSeriesAR.pdf",17
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Aksoy","aksoy__TUBITAKUse.pdf",10
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Al-Osh","al-osh_1987_FirstOrderIntegerValuedAutoregressive.pdf",15
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Al-Osh","al-osh_1988_IntegervaluedMovingAverage.pdf",20
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Al-Osh","al-osh_1991_BinomialAutoregressiveMoving.pdf",21
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Al-Osh","al-osh_1993_GammaProcessesBased.pdf",22
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Al-Wakil","al-wakil__RecommendationSystemMood.pdf",81
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Alagidede","alagidede_2008_DayWeekSeasonality.pdf",7
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Albers","albers_2020_InspectingGradualAbrupt.pdf",8
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Albert","albert_1991_EffectDailyVariation.pdf",13
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Albert","albert_2012_DirichletMultinomialDistributions.pdf",29
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Aleksandrov","aleksandrov_2020_TestingDispersionStructure.pdf",37
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Alfons","alfons_2010_ObjectOrientedFrameworkStatistical.pdf",36
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Allen","allen_2017_SAGEEncyclopediaCommunication.pdf",2013
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Almeida","almeida_2002_DailyInventoryStressful.pdf",15
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Alvoni","alvoni_1988_AlgorithmTimeSeries.pdf",6
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DepressiveDisorders.pdf",34
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (1).pdf",727
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (10).pdf",167
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (11).pdf",118
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (2).pdf",682
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (3).pdf",727
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (4).pdf",264
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (5).pdf",208
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (6).pdf",148
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (7).pdf",86
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (8).pdf",73
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual (9).pdf",115
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/American Psychiatric Association","americanpsychiatricassociation_2013_DiagnosticStatisticalManual.pdf",992
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Anafi","anafi_2017_CYCLOPSRevealsHuman.pdf",6
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Ancona","ancona_2001_TimeNewResearch.pdf",20
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Anděl","andel_1983_MarginalDistributionsAutoregressive.pdf",9
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Anderson","anderson_1975_MaximumLikelihoodEstimation.pdf",22
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Anderson","anderson_2002_AvoidingPitfallsWhen.pdf",8
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Andersson","andersson_2014_ParametricTimeSeries.pdf",22
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Angers","angers_2017_BayesianForecastingTime.pdf",13
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Angst","angst_2003_RedefinitionSubthresholdBipolarity.pdf",14
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Antony","antony_2020_HandbookAssessmentTreatment.pdf",659
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Aoki","aoki_1990_StateSpaceModeling.pdf",338
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Arcolezi","arcolezi_2022_ProductionCategoricalData.pdf",214
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Arcolezi","arcolezi_2022_RisksCollectingMultidimensional.pdf",25
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Arcolezi","arcolezi_2024_ImprovingUtilityLocally.pdf",11
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Areni","areni_2011_FactorsAffectingExtent.pdf",11
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Ariens","ariens_2020_TimeSeriesAnalysis.pdf",15
"/Users/Haqiq001/Library/CloudStorage/OneDrive-Personal/UU/uu-vault/Zotero-library/PDFs/Ariens","ariens_2023_OneDoesNot.pdf",15
